어휘,길잡이말,품사,
승패,를 가르다,명사,
시,를 읽다,명사,
시각,일출 시각,명사,
시각,여성의 시각,명사,
시금치,를 무치다,명사,
시기,등록 시기,명사,
시내버스,를 타다,명사,
시달리다,업무에,동사,
시대,조선 시대,명사,
시댁,에 가다,명사,
시도,가 성공하다,명사,
시들다,꽃이,동사,
시디,를 굽다,명사,
시력,이 좋다,명사,
시리즈,로 방영되다,명사,
시멘트,가 굳다,명사,
시부모,에게 효도하다,명사,
시선,이 마주치다,명사,
시설,에 투자하다,명사,
시스템,을 개선하다,명사,
시아버지,를 모시다,명사,
시야,를 가리다,명사,
시외,로 나가다,명사,
시외버스,를 타다,명사,
시인,여류 시인,명사,
시일,이 걸리다,명사,
시장,을 뽑다,명사,
시절,어린 시절,명사,
시점,에 이르다,명사,
시중,시중 가격,명사,
시집,시집 식구,명사,
시집,을 읽다,명사,
시집가다,부잣집에,동사,
시청,텔레비전 시청,명사,
시청률,이 높다,명사,
시청자,에게 전달하다,명사,
시합,에서 이기다,명사,
시행,시행 예정,명사,
시험지,를 채점하다,명사,
식기,를 씻다,명사,
식당가,에서 먹다,명사,
식량,을 구하다,명사,
식료품,을 사다,명사,
식물,을 기르다,명사,
식비,를 내다,명사,
식사량,을 줄이다,명사,
식욕,이 떨어지다,명사,
식용유,에 튀기다,명사,
식중독,에 걸리다,명사,
식품점,에서 사다,명사,
식후,식후 분,명사,
식히다,차를,동사,
신,을 신다,명사,
신,이 나다,명사,
신-,신세계,접사,
신경,을 다치다,명사,
신고,분실물 신고,명사,
신기하다,마술이,형용사,
신나다,나들이에 ,동사,
신념,을 지키다,명사,
신뢰,를 잃다,명사,
신맛,이 나다,명사,
신문사,에 다니다,명사,
신문지,에 싸다,명사,
신부,가톨릭,명사,
신분,에 맞다,명사,
신비,우주의,명사,
신사,숙녀,명사,
신상품,을 내놓다,명사,
신세,를 망치다,명사,
신세대,신세대 문화,명사,
신앙,이 깊다,명사,
신용,을 잃다,명사,
신입,신입 사원,명사,
신입생,을 모집하다,명사,
신제품,이 나오다,명사,
신중,을 기하다,명사,
신청서,를 접수하다,명사,
신체,가 튼튼하다,명사,
신체적,신체적 기능,관형사·명사,
신혼,신혼 생활,명사,
신혼부부,예비 신혼부부,명사,
신화,단군 신화,명사,
실,로 묶다,명사,
실감,이 나다,명사,
실내,로 들어가다,명사,
실력,이 뛰어나다,명사,
실례,를 들다,명사,
실리다,배에,동사,
실망,이 크다,명사,
실습,을 나가다,명사,
실시,훈련 실시,명사,
실업,실업 위기,명사,
실용적,실용적 기술,관형사·명사,
실은,실은 그렇지 않다,부사,
실장,으로 승진하다,명사,
실제,실제 일어나다,부사/명사,
실제로,실제로 일어나다,부사,
실종,실종 사건,명사,
실천,에 옮기다,명사,
실체,를 보다,명사,
실컷,실컷 놀다,부사,
실험,을 하다,명사,
실현,꿈의 실현,명사,
싫증,이 나다,명사,
-심,배려심,접사,
심각하다,문제가,형용사,
심리,를 나타내다,명사,
심리적,심리적 변화,관형사·명사,
심부름,을 보내다,명사,
심사,를 받다,명사,
심장,이 뛰다,명사,
심정,이 답답하다,명사,
심지어,심지어 ~까지도,부사,
심판,법의 심판,명사,
십상,십상 알맞다,명사/부사,
싱싱하다,야채가,형용사,
싸구려,싸구려 화장품,명사,
싸다,오줌을,동사,
싸움,이 나다,명사,
싸이다,보자기에,동사,
싼값,에 팔다,명사,
쌍,쌍으로 묶다,명사,
쌍둥이,를 키우다,명사,
쌓이다,책들이,동사,
썩,썩 잘한다,부사,
썩다,고기가,동사,
썰렁하다,날씨가,형용사,
쏘다,총을,동사,
쏟다,기름을,동사,
쏟아지다,물이,동사,
쐬다,바람을,동사,
쑤시다,몸이,동사,
쑥스럽다,표정이,형용사,
쓰기,쓰기 평가,명사,
쓰다듬다,머리를,동사,
쓰러지다,나무가,동사,
쓰이다,칠판에,동사,
쓰이다,저울이,동사,
쓴맛,이 나다,명사,
쓸다,낙엽을,동사,
쓸데없다,물건이,형용사,
쓸데없이,쓸데없이 돈을 쓰다,부사,
쓸쓸하다,마음이,형용사,
씌우다,모자를,동사,
씨,를 뿌리다,명사,
씨름,씨름 경기,명사,
씨앗,을 뿌리다,명사,
-씩,조금씩,접사,
씩씩하다,씩씩한 사람,형용사,
씻기다,비에,동사,
씻기다,아이를,동사,
아가,가 울다,명사,
아깝다,돈이,형용사,
아끼다,돈을,동사,
아냐,아냐. 괜찮아,감탄사,
아동,의 성장,명사,
아드님,첫째 아드님,명사,
아래층,으로 내려가다,명사,
아랫사람,의 도리,명사,
아랫집,에 내려가다,명사,
아마도,아마도 -을 것이다,부사,
아무개,아무개 씨,대명사,
아무래도,아무래도 이상하다,부사,
아무런,−,관형사,
아무렇다,미래가 아무렇든,형용사,
아무튼,"아무튼, 다행이다.",부사,
아쉬움,이 남다,명사,
아쉽다,작별이,형용사,
아시아,아시아 대륙,명사,
아예,아예 안 하다,부사,
아울러,실력과 아울러 미모도,부사,
아이,"아이, 나도 바쁜데",감탄사,
아이고,"아이고, 시끄러워",감탄사,
아이디어,를 내다,명사,
아침밥,을 먹다,명사,
아침저녁,아침저녁으로 만나다,명사,
아프리카,아프리카 대륙,명사,
아픔,육신의 아픔,명사,
아하,"아하, 그렇구나",감탄사,
아홉째,아홉째 날,수사·관형사/명사,
악몽,을 꾸다,명사,
악수,를 하다,명사,
악취,가 나다,명사,
악화,갈등 악화,명사,
안과,에서 치료를 받다,명사,
안기다,아기가,동사,
안기다,꽃다발을,동사,
안내서,를 읽다,명사,
안내소,에 들르다,명사,
안내원,을 따라가다,명사,
안내판,을 세우다,명사,
안되다,형편이,형용사,
안방,에서 자다,명사,
안부,를 묻다,명사,
안색,이 나쁘다,명사,
안심,이 되다,명사,
안약,을 넣다,명사,
안전띠,를 매다,명사,
안정,을 유지하다,명사,
안주,를 먹다,명사,
안타까워하다,죽음을,동사,
안타깝다,마음이,형용사,
안팎,나라 안팎,명사,
앉히다,자리에,동사,
않다,세수를,동사,
알,에서 깨다,명사,
알레르기,를 일으키다,명사,
알려지다,사실이,동사,
알아내다,사실을,동사,
알아듣다,말귀를,동사,
알아맞히다,답을,동사,
알아주다,마음을,동사,
알차다,내용이,형용사,
앓다,감기를,동사,
암,에 걸리다,명사,
암기,암기 과목,명사,
압력,이 높다,명사,
앗,앗! 깜짝이야.,감탄사,
앞길,을 건너다,명사,
앞날,을 기약하다,명사,
앞두다,시험을,동사,
앞뒤,를 돌아보다,명사,
앞머리,를 기르다,명사,
앞바다,로 나가다,명사,
앞서,앞서 도착하다,부사,
앞서다,앞서서 걷다,동사,
앞세우다,반장을,동사,
앞장서다,앞장서 가다,동사,
앞집,에 살다,명사,
애,를 태우다,명사,
애기,를 낳다,명사,
애쓰다,도우려고,동사,
애완동물,을 기르다,명사,
애정,을 가지다,명사,
액세서리,를 달다,명사,
액수,가 크다,명사,
액자,를 걸다,명사,
야간,야간 근무,명사,
야경,을 감상하다,명사,
야근,을 하다,명사,
야단,을 떨다,명사,
야옹,고양이가 야옹 울다,부사,
야외,로 나가다,명사,
야하다,옷차림이,형용사,
약도,를 그리다,명사,
약점,을 잡다,명사,
약품,을 구입하다,명사,
약혼,을 발표하다,명사,
약혼녀,와 헤어지다,명사,
약혼자,를 소개하다,명사,
얌전,을 떨다,명사,
양,동물,명사,
양,양 무릎,관형사,
양,이 많다,명사,
양국,이 교류하다,명사,
양념,을 섞다,명사,
양력,음력,명사,
양배추,를 먹다,명사,
양보,자리 양보,명사,
양산,을 쓰다,명사,
양식,에 맞추다,명사,
양심,에 찔리다,명사,
양옆,에 앉다,명사,
양쪽,양쪽 뺨,명사,
양파,를 볶다,명사,
얕다,강이,형용사,
얘,이 아이,줄어든 말,
-어,한국어,접사,
어긋나다,뼈가,동사,
어기다,약속을,동사,
어느덧,어느덧 사라지다,부사,
어느새,어느새 다 자라다,부사,
어둠,이 깔리다,명사,
어떡하다,어떠하게 하다,줄어든 말,
어려움,을 겪다,명사,
어려워하다,선배를,동사,
어르신,을 뵙다,명사,
어리석다,생각이,형용사,
어린애,를 보살피다,명사,
어머,"어머, 눈이 오네",감탄사,
어색하다,사이가,형용사,
어저께,어저께 아침,부사/명사,
어지럽다,머리가,형용사,
어쨌든,어쨌든 고맙다,부사,
어쩌다,어쩌다가,부사,
어쩌면,어쩌면 너도,부사,
어쩐지,어쩐지 이상하다,부사,
어찌나,어찌나 귀여운지,부사,
어찌하다,어찌할 수 없다,동사,
어차피,어차피 안 되다,부사,
어휘,를 외우다,명사,
어휴,"어휴, 정신이 없군",감탄사,
억양,을 높이다,명사,
억울하다,죽음이,형용사,
억지로,억지로 웃다,부사,
언급,을 피하다,명사,
언덕,을 오르다,명사,
언론,언론 매체,명사,
언젠가,미래의 언젠가,부사,
얹다,무릎 위에,동사,
얻어먹다,구걸해서,동사,
얼룩,을 지우다,명사,
얼른,얼른 일어나다,부사,
얼리다,얼음을,동사,
얼마간,얼마간의 돈,명사,
엄격,엄격 적용,명사,
엄숙하다,분위기가,형용사,
엄청나다,피해가,형용사,
업계,서비스 업계,명사,
업다,동생을,동사,
업무,를 맡기다,명사,
업적,을 남기다,명사,
업체,와 거래하다,명사,
없애다,근심을,동사,
없어지다,말이,동사,
없이,죄 없이,부사,
엉뚱하다,대답이,형용사,
엉망,으로 만들다,명사,
엉터리,로 말하다,명사,
엊그제,엊그제 아침,명사/부사,
엎드리다,엎드려 자다,동사,
에너지,가 넘치다,명사,
에스컬레이터,에 타다,명사,
여,여자,명사,
-여,십여 년,접사,
여가,를 즐기다,명사,
여간,여간 ~이 아니다,부사,
여건,이 좋다,명사,
여고,여고 시절,명사,
여관,에서 자다,명사,
여기다,가족으로,동사,
여덟째,여덟째 날,수사·관형사/명사,
여드름,이 나다,명사,
여럿,여럿 가운데,명사,
여름철,여름철 날씨,명사,
여름휴가,를 떠나다,명사,
여보,"여보, 마누라",감탄사,
여부,사실 여부,명사,
여섯째,여섯째 날,수사·관형사/명사,
여유,가 있다,명사,
여유롭다,시간이,형용사,
여인,중년 여인,명사,
여전히,여전히 그대로,부사,
여쭈다,선생님께,동사,
여행가,배낭 여행가,명사,
역사가,가 연구하다,명사,
역사상,한국 역사상,명사,
역사적,역사적 기록,관형사·명사,
역할,을 정하다,명사,
엮다,짚을,동사,
연,연 강수량,명사,
연간,연간 수입,명사,
연고,를 바르다,명사,
연관,이 있다,명사,
연구,에 몰두하다,명사,
연구소,를 세우다,명사,
연구실,에서 공부하다,명사,
연구원,이 되다,명사,
연구원,에서 일하다,명사,
연구자,로 일하다,명사,
연기,무기한 연기,명사,
연기,담배 연기,명사,
연기,배우의 연기,명사,
연기자,드라마 연기자,명사,
연도,졸업 연도,명사,
연두색,연두색 새싹,명사,
연령,연령 제한,명사,
연못,에 빠지다,명사,
연봉,연봉이 오르다,명사,
연설,을 마치다,명사,
연속,일주일 연속,명사,
연애,연애 감정,명사,
연인,연인 사이,명사,
연장,연장 근무,명사,
연주,피아노 연주,명사,
연주회,피아노 연주회,명사,
연체,연체 도서,명사,
연체료,를 내다,명사,
연출,영화 연출,명사,
연탄,을 때다,명사,
연하다,고기가,형용사,
연합,유럽 연합,명사,
열기,뜨거운 열기,명사,
열리다,열매가,동사,
열매,가 열리다,명사,
열쇠고리,에 끼우다,명사,
열정,을 쏟다,명사,
열중,을 하다,명사,
열째,열째 날,수사·관형사/명사,
염색,을 들이다,명사,
엿보다,몰래 엿보다,동사,
영,영 모르겠다,부사,
영리하다,머리가,형용사,
영상,영상에 담다,명사,
영상,영하,명사,
영양,이 풍부하다,명사,
영양제,를 먹다,명사,
영업,을 마치다,명사,
영역,활동 영역,명사,
영웅,전쟁 영웅,명사,
영원,을 약속하다,명사,
영원히,영원히 사랑하다,부사,
영향,을 미치다,명사,
영향력,을 미치다,명사,
영혼,이 되다,명사,
영화감독,으로 데뷔하다,명사,
예,예로부터,명사,
예,를 들다,명사,
예,가 바르다,명사,
예감,불길한 예감,명사,
예고,를 보다,명사,
예금,을 찾다,명사,
예방,산불 예방,명사,
예보,일기 예보,명사,
예비,예비 식량,명사,
예산,을 짜다,명사,
예상,과 다르다,명사,
예선,에 통과하다,명사,
예술가,로 활동하다,명사,
예술적,예술적 작품,관형사·명사,
예식장,을 예약하다,명사,
예외,로 하다,명사,
예의,가 바르다,명사,
예절,을 지키다,명사,
예정,을 앞당기다,명사,
예측,이 맞다,명사,
예컨대,−,부사,
옛날이야기,를 들려주다,명사,
오,오! 그래요?,감탄사,
오가다,말이,동사,
오늘날,에 이르다,명사,
오락,오락 문화,명사,
오락실,에서 놀다,명사,
오래도록,오래도록 간직하다,부사,
오래오래,오래오래 사세요,부사,
오랜,오랜 시간,관형사,
오로지,오로지 공부만 하다,부사,
오르내리다,계단을,동사,
오른발,을 쓰다,명사,
오른편,에 앉다,명사,
오리,동물,명사,
오염,오염 물질,명사,
오직,오직 너만,부사,
오징어,를 먹다,명사,
오토바이,를 타다,명사,
오페라,를 보다,명사,
오피스텔,에 살다,명사,
오해,를 풀다,명사,
오히려,오히려 화를 내다,부사,
옥수수,를 먹다,명사,
온,온 집안,관형사,
온갖,온갖 방법,관형사,
온라인,온라인 게임,명사,
온몸,이 아프다,명사,
온종일,을 보내다,명사/부사,
온천,에 가다,명사,
온통,온통 그 생각뿐이다,명사/부사,
올,올 삼월,명사,
올라서다,계단에,동사,
올라타다,비행기에,동사,
올려놓다,난로 위에,동사,
올려다보다,나무를,동사,
올바르다,생각이,형용사,
올여름,올여름 날씨,명사,
옮기다,숙소를,동사,
옷차림,이 단정하다,명사,
와인,을 마시다,명사,
완벽,을 추구하다,명사,
완성,한 달 완성,명사,
완전,에 가깝다,명사,
왕복,으로 운행하다,명사,
왠지,왠지 기분이 좋다,부사,
외,그 외,명사/의존명사,
외가,−,명사,
외갓집,에 가다,명사,
외과,에서 치료받다,명사,
외교,외교 관계,명사,
외교관,으로 일하다,명사,
외로움,을 느끼다,명사,
외면,을 당하다,명사,
외모,를 가꾸다,명사,
외박,이 잦다,명사,
외부,로 나가다,명사,
외삼촌,친척,명사,
외숙모,친척,명사,
외식,을 나가다,명사,
외아들,로 자라다,명사,
외출복,을 벗다,명사,
외치다,큰 소리로,동사,
외투,를 입다,명사,
외할머니,가족,명사,
외할아버지,가족,명사,
왼발,을 쓰다,명사,
왼편,에 앉다,명사,
요,를 깔다,명사,
요,요 녀석,관형사,
요가,를 배우다,명사,
요구,를 들어주다,명사,
요구르트,를 마시다,명사,
요리법,을 개발하다,명사,
요새,요 사이,명사,
요소,구성 요소,명사,
요약,내용 요약,명사,
요인,성공 요인,명사,
요즈음,요즈음 유행이다,명사,
요청,을 받다,명사,
욕,을 퍼붓다,명사,
욕망,이 크다,명사,
욕실,에서 씻다,명사,
욕심,을 내다,명사,
용,동물,명사,
-용,어린이용,접사,
용감하다,군인이,형용사,
용건,만 말하다,명사,
용기,를 내다,명사,
용도,에 맞다,명사,
용돈,을 쓰다,명사,
용서,를 구하다,명사,
용어,법률 용어,명사,
용품,등산 용품,명사,
우기다,끝까지 우기다,동사,
우려,가 크다,명사,
우물,을 파다,명사,
우선,으로 하다,명사,
우수,우수 학생,명사,
우습다,표정이,형용사,
우승,우승 후보,명사,
우아하다,분위기가,형용사,
우연,의 일치,명사,
우연히,우연히 발견하다,부사,
우울,을 느끼다,명사,
우정,을 쌓다,명사,
우주,우주 만물,명사,
우체통,에 편지를 넣다,명사,
우측,우측 방향,명사,
우편,으로 보내다,명사,
우편물,을 보내다,명사,
우편함,에 넣다,명사,
우회전,을 알리다,명사,
운,이 좋다,명사,
운동량,을 조절하다,명사,
운동선수,로 활동하다,명사,
운명,을 받아들이다,명사,
운반,이삿짐 운반,명사,
운영,기업 운영,명사,
운전기사,가 안내하다,명사,
운전면허,를 따다,명사,
운행,운행 노선,명사,
울리다,전화기가,동사,
울리다,아기를,동사,
울음소리,가 나다,명사,
움직임,을 따라가다,명사,
웃기다,사람을,동사,
웃어른,을 공경하다,명사,
웃음소리,가 나다,명사,
워낙,비싸다,부사,
원,을 그리다,명사,
-원,회사원,접사,
-원,대학원,접사,
원래,원래 그렇다,명사/부사,
원룸,에 살다,명사,
원리,를 발견하다,명사,
원만하다,성품이,형용사,
원서,를 내다,명사,
원숭이,를 키우다,명사,
원인,을 밝히다,명사,
원칙,을 지키다,명사,
월,월요일,명사,
월드컵,이 열리다,명사,
월말,이 되다,명사,
월세,를 내다,명사,
웬,웬 영문인지,관형사,
웬만하다,가격이 ,형용사,
웬일,로 일찍 오다,명사,
위,위,의존명사,
위기,를 면하다,명사,
위대하다,업적이,형용사,
위로,를 받다,명사,
위반,신호 위반,명사,
위아래,로 정렬하다,명사,
위원회,가 열리다,명사,
위층,으로 올라가다,명사,
위하다,가족을,동사,
위험성,이 크다,명사,
위협,을 당하다,명사,
윗글,을 읽다,명사,
윗사람,을 모시다,명사,
유교,유교 문화,명사,
유난히,유난히 작다,부사,
유능,무능,명사,
유도,대화 유도,명사,
유람선,을 타다,명사,
유럽,에 가다,명사,
유료,무료,명사,
유리,불리,명사,
유리창,을 닦다,명사,
유머,가 있다,명사,
유물,을 전시하다,명사,
유산,을 물려받다,명사,
유일,세계 유일,명사,
유적,이 발견되다,명사,
유적지,를 조사하다,명사,
유지,질서 유지,명사,
유창하다,영어가,형용사,
유치하다,생각이,형용사,
유쾌,불쾌,명사,
유통,자본의 유통,명사,
유형,을 나누다,명사,
유혹,뇌물의,명사,
육군,육군 부대,명사,
육지,에서 살다,명사,
육체,건강한 육체,명사,
육체적,육체적 피로,관형사·명사,
-율,할인율,접사,
으악,으악 하고 토하다,부사/감탄사,
은,금과 은,명사,
은혜,를 갚다,명사,
음력,양력,명사,
음반,을 내다,명사,
음성,을 듣다,명사,
음식물,을 삼키다,명사,
음악회,에 가다,명사,
음주,음주 운전,명사,
응급실,에 실려 가다,명사,
응답,을 기다리다,명사,
응시,응시 원서,명사,
응원,을 보내다,명사,
의견,을 나누다,명사,
의논,을 하다,명사,
의도,를 가지다,명사,
의류,여성 의류,명사,
의무,를 다하다,명사,
의무적,의무적 규정,관형사·명사,
의문,이 생기다,명사,
의복,을 갈아입다,명사,
의사,를 밝히다,명사,
의상,을 고르다,명사,
의식,을 잃다,명사,
의식,을 치르다,명사,
의심,을 받다,명사,
의외,의외의 결과,명사,
의욕,이 넘치다,명사,
의존,알코올 의존,명사,
의지,를 하다,명사,
의지,가 강하다,명사,
-이,많이,접사,
이곳저곳,에 다니다,명사,
이국적,이국적 풍경,관형사·명사,
이기적,이기적 성격,관형사·명사,
이끌다,단체를,동사,
이내,이내 잠이 들다,부사,
이내,한 시간 이내,명사,
이념,교육 이념,명사,
이달,이달 말,명사,
이대로,이대로 두다,부사,
이동,장소 이동,명사,
이따,이따 만나요,부사,
이래서,이러한 이유로,줄어든 말,
이러다,말하다,동사,
이런저런,이런저런 문제,관형사,
이력서,를 내다,명사,
이론,을 세우다,명사,
이롭다,건강에,형용사,
이루다,꿈을,동사,
이루어지다,소원이,동사,
이룩하다,성장을,동사,
이르다,목적지에,동사,
이르다,자세히 이르다,동사,
이른바,−,부사,
이름표,를 달다,명사,
이리,이리 오다,부사,
이리저리,이리저리 돌아다니다,부사,
이만,이만 줄이다,부사,
이만큼,이만큼 달라지다,부사/명사,
이메일,을 보내다,명사,
이미지,청각적 이미지,명사,
이민,을 가다,명사,
이발,을 하다,명사,
이벤트,가 열리다,명사,
이별,을 선언하다,명사,
이비인후과,에서 치료하다,명사,
이상적,이상적 방법,관형사·명사,
이성,을 잃다,명사,
이성,이성 친구,명사,
이어,이어 말하다,부사,
이어지다,둥글게 이어지다,동사,
이왕,이왕의 일,명사/부사,
이외,관계자 이외,명사,
이용자,인터넷 이용자,명사,
이웃집,에 놀러 가다,명사,
이윽고,이윽고 밤이 되다,부사,
이익,이 남다,명사,
이자,가 비싸다,명사,
이전,주소 이전,명사,
이제야,이제야 알다,부사,
이튿날,이 되다,명사,
이하,수준 이하,명사,
이해관계,를 따지다,명사,
이해력,이 부족하다,명사,
이혼,이혼 서류,명사,
익다,손에,형용사,
익히다,고기를,동사,
익히다,기술을,동사,
인간,인간 사회,명사,
인간관계,가 좋다,명사,
인간성,이 좋다,명사,
인간적,인간적 권리,관형사·명사,
인격,을 존중하다,명사,
인공,인공 호수,명사,
인구,가 증가하다,명사,
인도,로 걷다,명사,
인력,을 양성하다,명사,
인류,인류 공동체,명사,
인물,이 좋다,명사,
인삼차,를 마시다,명사,
인상,이 좋다,명사,
인상,요금 인상,명사,
인상,에 남다,명사,
인상적,인상적 작품,관형사·명사,
인생,을 바치다,명사,
인쇄,인쇄 매체,명사,
인쇄물,을 찍다,명사,
인스턴트,인스턴트 커피,명사,
인식,이 강하다,명사,
인심,이 변하다,명사,
인연,을 맺다,명사,
인용,인용 문구,명사,
인원,이 남다,명사,
인재,를 기르다,명사,
인정,이 넘치다,명사,
인정,을 받다,명사,
인체,를 해부하다,명사,
인터뷰,인터뷰 기사,명사,
인하,가격 인하,명사,
인하다,그로 인하여,동사,
일,일요일,명사,
일곱째,일곱째 날,수사·관형사/명사,
일교차,가 크다,명사,
일단,먼저,부사,
일대,서울 일대,명사,
일등,일등 신랑,명사,
일반,일반 국민,명사,
일반인,일반인 대상,명사,
일반적,일반적 생각,관형사·명사,
일본어,로 말하다,명사,
일본인,을 만나다,명사,
일부러,일부러 오다,부사,
일부분,에 속하다,명사,
일상,에 만족하다,명사,
일상생활,에서 사용하다,명사,
일상적,일상적 사용,관형사·명사,
일생,을 살다,명사,
일석이조,를 노리다,명사,
일손,을 구하다,명사,
일시,모임 일시,명사,
일시불,로 내다,명사,
일시적,일시적 감정,관형사·명사,
일쑤,굶기가 일쑤이다,명사/부사,
일어,로 말하다,명사,
일으키다,윗몸을,동사,
일일이,일일이 검사하다,부사,
일자리,를 구하다,명사,
일정,일정 기준,명사,
일정,을 짜다,명사,
일정표,가 바뀌다,명사,
일종,일종의 자유,명사,
일찍이,일찍이 나서다,부사,
일체,일체 금지하다,명사/부사,
일출,을 보다,명사,
일치,의견 일치,명사,
일행,과 헤어지다,명사,
일회용,일회용 젓가락,명사,
일회용품,을 사용하다,명사,
읽기,를 배우다,명사,
읽히다,책이,동사,
읽히다,책을,동사,
임금,을 올리다,명사,
임무,를 맡기다,명사,
임시,로 맡다,명사,
임신,임신 초기,명사,
입국,출국,명사,
입금,입금 통장,명사,
입대,제대,명사,
입력,자료 입력,명사,
입맛,이 좋다,명사,
입사,입사 시험,명사,
입시,대학 입시,명사,
입장,무료 입장,명사,
입장,을 밝히다,명사,
입장료,를 내다,명사,
입학식,을 치르다,명사,
입히다,옷을,동사,
잇다,끈을,동사,
잇따르다,차가,동사,
잊히다,기억에서,동사,
자,로 재다,명사,
자,"자, 갑시다",감탄사,
자,하늘 천 자,명사,
-자,과학자,접사,
자가용,으로 출근하다,명사,
자격,보호자 자격,명사,
자격증,을 따다,명사,
자극,피부에 자극이 되다,명사,
자기,를 반성하다,명사/대명사,
자꾸만,자꾸만 귀찮게 하다,부사,
자녀,를 기르다,명사,
자동,으로 움직이다,명사,
자라나다,몸이,동사,
자랑스럽다,아들이,형용사,
자료,를 찾다,명사,
자리,를 펴다,명사,
자막,이 나오다,명사,
자매,가족,명사,
자본,이 부족하다,명사,
자부심,을 느끼다,명사,
자살,을 시도하다,명사,
자세,를 잡다,명사,
자세하다,설명이,형용사,
자신,이 있다,명사,
자신감,이 넘치다,명사,
자연스럽다,표정이,형용사,
자연적,자연적 환경,관형사·명사,
자연환경,을 보호하다,명사,
자연히,자연히 없어지다,부사,
자원,이 부족하다,명사,
자유롭다,활동이,형용사,
자존심,을 지키다,명사,
자주색,으로 색칠하다,명사,
자취,자취 생활,명사,
작가,시나리오 작가,명사,
작곡,작곡 공부,명사,
작곡가,가요 작곡가,명사,
작동,을 멈추다,명사,
작문,을 읽다,명사,
작성,보고서 작성,명사,
작업,준비 작업,명사,
작용,불리한 작용,명사,
작은아버지,친척,명사,
작은어머니,친척,명사,
작은집,에 가다,명사,
작전,을 생각하다,명사,
작품,예술 작품,명사,
잔돈,을 모으다,명사,
잔디밭,에 앉다,명사,
잔뜩,잔뜩 사다,부사,
잔소리,를 늘어 놓다,명사,
잔액,이 부족하다,명사,
잘나다,외모가,형용사,
잘리다,나무가,동사,
잘살다,잘사는 나라,동사,
잠그다,문을,동사,
잠기다,문이,동사,
잠기다,물에,동사,
잠들다,아기가,동사,
잠옷,을 입다,명사,
잠자리,를 잡다,명사,
잡아당기다,문을,동사,
잡아먹다,소를,동사,
잡히다,도둑이,동사,
-장,운동장,접사,
장가,를 가다,명사,
장관,에 임명되다,명사,
장기간,장기간 머물다,명사,
장기적,장기적 목표,관형사·명사,
장난,이 심하다,명사,
장남,장녀,명사,
장단점,을 파악하다,명사,
장래,를 준비하다,명사,
장례식,을 치르다,명사,
장르,영화 장르,명사,
장마철,이 다가오다,명사,
장면,을 목격하다,명사,
장모,장인,명사,
장미꽃,을 받다,명사,
장사,가 잘되다,명사,
장수,장수 마을,명사,
장식,을 달다,명사,
장애,가 되다,명사,
장애인,장애인 복지,명사,
장인,장모,명사,
장점,이 많다,명사,
장하다,아들이,형용사,
장학,장학 사업,명사,
장학금,을 받다,명사,
재-,재등록,접사,
재능,예술적 재능,명사,
재다,무게를,동사,
재떨이,에 버리다,명사,
재빨리,재빨리 도망치다,부사,
재산,을 모으다,명사,
재생,의 기회,명사,
재수,가 좋다,명사,
재우다,아이를,동사,
재작년,재작년 여름,명사,
재주,가 많다,명사,
재킷,을 입다,명사,
재판,이 열리다,명사,
재학,재학 증명서,명사,
재학생,이 늘다,명사,
재활용,재활용 쓰레기,명사,
재활용품,을 모으다,명사,
잼,을 바르다,명사,
쟤,저 아이,줄어든 말,
저-,저학년,접사,
저급,저급 문화,명사,
저기,"저기, 잠깐만요",감탄사,
저녁때,에 만나다,명사,
저러다,떠들고 저러다,동사,
저렴하다,비용이,형용사,
저리,저리 가라,부사,
저마다,저마다 다르다,부사/명사,
저만큼,저만큼 느끼다,부사/명사,
저울,에 달다,명사,
저자,책의 저자,명사,
저장,파일 저장,명사,
저절로,저절로 가다,부사,
저지르다,실수를,동사,
저축,저축 예금,명사,
적,을 공격하다,명사,
-적,일반적,접사,
적극,적극 검토하다,명사,
적극적,적극적 태도,관형사·명사,
적당히,적당히 마시다,부사,
적성,에 맞다,명사,
적어도,적어도 일주일,부사,
적어지다,사람이,동사,
적용,받다,명사,
적응,이 빠르다,명사,
적자,가 나다,명사,
적절하다,상황이,형용사,
적히다,숫자가,동사,
전개,가 이루어지다,명사,
전국,을 돌다,명사,
전국적,전국적 규모,관형사·명사,
전날,시험 전날,명사,
전달,물건 전달,명사,
전망,이 좋다,명사,
전문,전문 분야,명사,
전문가,를 초빙하다,명사,
전문적,전문적 지식,관형사·명사,
전문점,커피 전문점,명사,
전문직,에 종사하다,명사,
전설,이 내려오다,명사,
전세,로 살다,명사,
전시,전시 상품,명사,
전시장,을 둘러보다,명사,
전시회,를 관람하다,명사,
전용,외국인 전용,명사,
전원,전원 출석,명사,
전원,을 끄다,명사,
전자,전자 제품,명사,
전자레인지,에 데우다,명사,
전자사전,을 찾다,명사,
전쟁,한국 전쟁,명사,
전제,전제 조건,명사,
전체적,전체적 분위기,관형사·명사,
전통,을 잇다,명사,
전통적,전통적 방식,관형사·명사,
전후,전후 사정,명사,
절,에 다니다,명사,
절,을 올리다,명사,
절,장 절,명사,
절대,절대 안정,명사/부사,
절대로,절대로 아니다,부사,
절대적,절대적 신뢰,관형사·명사,
절망,에 빠지다,명사,
절반,절반 이상,명사,
절약,시간 절약,명사,
절차,수속 절차,명사,
젊은이,젊은이의 꿈,명사,
젊음,을 유지하다,명사,
점,을 찍다,명사/의존명사,
